Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total_billion,,,,Ratio
08/31/2022,93769635059,15254184552,1.09024E+11,2022,109.0238196,96.1,96100,,0.001134483
12/31/2021,89474552025,14554823681,1.04029E+11,2021,104.0293757,96.1,96100,,0.001082512
12/31/2020,93408630285,12481816684,1.0589E+11,2020,105.890447,84.91,84910,,0.00124709
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,87.65,87650,,0.000838977
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,86.41,86410,,0.000715447
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,81.4,81400,,0.000566433
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,76.47,76470,,0.000729048
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,75.18,75180,,0.00076262
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,79.71,79710,,0.000945105
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,77.61,77610,,0.001160593
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,75.49,75490,,0.001269157
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,73.85,73850,,0.001253697
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,66.6,66600,,0.000907499
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,60.81,60810,,0.000695623
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,64.12,64120,,0.000335111
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,58.36,58360,,0.00016849
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,51.78,51780,,0.000263937
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,47.78,47780,,0.000726544
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,44.12,44120,,0.001408427
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,39.15,39150,,0.001836857
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,34.91,34910,,0.002018612
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,33.62,33620,,0.001781731
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,33.83,33830,,0.00145794
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,32.74,32740,,0.001756143
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,31.54,31540,,0.002116038
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,31.62,31620,,0.001662521
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,31.74,31740,,0.001323538
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,31.04,31040,,0.001339775
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,27.87,27870,,0.001084013
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,25.82,25820,,0.001128565
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,25.41,25410,,0.001092941
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,23.76,23760,,0.001122235
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,22.78,22780,,0.001022992
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,20.19,20190,,0.001220901
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,19.34,19340,,0.001371457
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,17.31,17310,,0.001768823
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,15.21,15210,,0.002324002
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,12.86,12860,,0.002928852
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,12.27,12270,,0.003073076
,,,,,,,,,
,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,
,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,
